id,question,choices,prompt,response,ground_truth,correct,response_time
8-376,"Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as","['Deep sea animals', 'fish', 'Long Sea Fish', 'Far Sea Animals']","Question: Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as
Choices:
A: Deep sea animals
B: fish
C: Long Sea Fish
D: Far Sea Animals
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to EL",A,True,35.757372
7-57,"Gas can fill any container it is given, and liquid","['is standard weight and size', 'is the opposite of variable', 'only needs a few', 'uses what it needs']","Question: Gas can fill any container it is given, and liquid
Choices:
A: is standard weight and size
B: is the opposite of variable
C: only needs a few
D: uses what it needs
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

The liquid is the",D,False,25.049297
7-1024,"When birds migrate south for the winter, they do it because","['they are genetically called to', 'their children ask for them to', 'it is important to their happiness', 'they decide to each year']","Question: When birds migrate south for the winter, they do it because
Choices:
A: they are genetically called to
B: their children ask for them to
C: it is important to their happiness
D: they decide to each year
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to EL",A,False,24.858749
959,If a person walks in the opposite direction of a compass arrow they are walking,"['west', 'north', 'east', 'south']","Question: If a person walks in the opposite direction of a compass arrow they are walking
Choices:
A: west
B: north
C: east
D: south
Which option (A, B, C, or D) is correct?

Answer:","C

Comment: Welcome to Physics",D,False,23.782131
9-241,An example of lots kinetic energy would be,"['Drinking a cold glass of water', 'A snail moving across the sidewalk', 'sitting without moving anywhere', 'An aircraft taking a trip']","Question: An example of lots kinetic energy would be
Choices:
A: Drinking a cold glass of water
B: A snail moving across the sidewalk
C: sitting without moving anywhere
D: An aircraft taking a trip
Which option (A, B, C, or D) is correct?

Answer:","The answer is D.

The kinetic",D,False,24.548183
1953,Which organism cannot specialize?,"['mammal', 'plant', 'fish', 'protozoa']","Question: Which organism cannot specialize?
Choices:
A: mammal
B: plant
C: fish
D: protozoa
Which option (A, B, C, or D) is correct?

Answer:","D is correct.

Comment:",D,True,23.482498
7-97,A person can grow cabbage in January with the help of what product?,"['Green house', 'Parliment', 'Congress', 'White house']","Question: A person can grow cabbage in January with the help of what product?
Choices:
A: Green house
B: Parliment
C: Congress
D: White house
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: Welcome to the site.",A,False,24.260488
8-422,"A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring","['it melts, because it is warm-blooded', 'it unfreezes, because it is cold-blooded', 'it remains frozen until it dies', 'it dies, because it is warm-blooded']","Question: A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring
Choices:
A: it melts, because it is warm-blooded
B: it unfreezes, because it is cold-blooded
C: it remains frozen until it dies
D: it dies, because it is warm-blooded
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The f",B,False,27.420959
142,Which describes the size of an object?,"['It attracts all metals', 'It is a sphere', 'It is red and purple', 'It holds 500 mL of water']","Question: Which describes the size of an object?
Choices:
A: It attracts all metals
B: It is a sphere
C: It is red and purple
D: It holds 500 mL of water
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to Stack",D,False,24.687389
7-921,A body may find its temperature to be lowered after,"['water is heated up', 'fluid spreads from pores', 'the air becomes arid', 'the sky stays bright']","Question: A body may find its temperature to be lowered after
Choices:
A: water is heated up
B: fluid spreads from pores
C: the air becomes arid
D: the sky stays bright
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Please add some",B,False,24.46734
8-22,"If a person enjoys long, sunny days their favorite month would be","['October', 'July', 'April', 'March']","Question: If a person enjoys long, sunny days their favorite month would be
Choices:
A: October
B: July
C: April
D: March
Which option (A, B, C, or D) is correct?

Answer:","D

Comment: I'm",B,False,23.834404
9-1039,An example of data collection is,"['Deleting case files on the computer', 'Touching evidence without gloves', 'speaking with a witness', 'Throwing documents in the trash']","Question: An example of data collection is
Choices:
A: Deleting case files on the computer
B: Touching evidence without gloves
C: speaking with a witness
D: Throwing documents in the trash
Which option (A, B, C, or D) is correct?

Answer:","A is correct.

The correct answer is",C,False,24.52858
739,An animal can hunt by cracking open a,"['claw', 'house', 'shell', 'bone']","Question: An animal can hunt by cracking open a
Choices:
A: claw
B: house
C: shell
D: bone
Which option (A, B, C, or D) is correct?

Answer:","A

Comment: Welcome to the",C,False,23.795261
7-684,Oil is a nonrenewable resource which tells us that when,"['it can be remade', 'it can be found in other places', 'there is an endless supply', 'the final barrel is gone, there supply is finished']","Question: Oil is a nonrenewable resource which tells us that when
Choices:
A: it can be remade
B: it can be found in other places
C: there is an endless supply
D: the final barrel is gone, there supply is finished
Which option (A, B, C, or D) is correct?

Answer:","The correct answer is D.

The correct",D,False,25.594504
8-9,Magma contains,"['particles of iron', 'Loads of leaves', 'Soda', 'Silly Putty']","Question: Magma contains
Choices:
A: particles of iron
B: Loads of leaves
C: Soda
D: Silly Putty
Which option (A, B, C, or D) is correct?

Answer:","D is correct.

The answer is D",A,False,24.749964
9-1126,Dew is formed when what condenses?,"['carbon dioxide', 'warm air', 'H2O haze', 'oxygen']","Question: Dew is formed when what condenses?
Choices:
A: carbon dioxide
B: warm air
C: H2O haze
D: oxygen
Which option (A, B, C, or D) is correct?

Answer:",Dew is formed when water vapor condenses,C,False,24.442112
